category,description,title,brand,rank,price,productID
"['Books', 'Literature & Fiction']","['When the other engines refuse, the Little Blue Engine tries to pull a stranded train full of toys and good food over the mountain.']",The Little Engine That Could,Piper Watty,"3,286,778 in Books (",$16.04,0001384198
"['Books', 'Literature & Fiction', 'Contemporary']",['This is the first in a saga of books about Emma Harte and the business empire she created and ruled.'],A Woman of Substance,Visit Amazon's Barbara Taylor Bradford Page,"4,951,725 in Books (",$21.32,0001046314
"['Books', ""Children's Books"", 'Growing Up & Facts of Life']","['If you want a green kangaroo, a skateboard TV or a Jeep-a-Fly kite -- just wait till the first of Octember. This delightful exercise in wish-fulfilment introduces children to the months of the year and the idea that they may not always get what they want! This title belongs to the highly acclaimed Beginner Book series developed by Dr. Seuss, in which the essential ingredients of rhyme, rhythm and repetition are combined with zany artwork and off-the-wall humour to create a range of books that will encourage even the most reluctant child to learn to read. Originally published under the pseudonym of Theo. LeSieg, Please Try to Remember the First of Octember is being relaunched with a stylish new cover design which reveals, for the first time, the true identity of the author -- Dr. Seuss himself!']",Please Try to Remember the First of Octember (Beginner Books),Theo Le Sieg,"4,480,270 in Books (",$2.94,0001713167
"['Books', 'Science Fiction & Fantasy', 'Science Fiction']","[""Timeless classic children's picture book of poems by Robert Louis Stevenson with beautiful illustrations by Gyo Fujikawa.""]",A Child's Garden of Verses,Robert Louis Stevenson,"4,228,247 in Books (",,0001381733
"['Books', 'Literature & Fiction']","['I can read it all by myself beginner books, illustrated']","Come Over to My House (I Can Read It All by Myself, Beginner Books)",Theo LeSieg,"2,884,610 in Books (",$29.00,0001711296
"['Books', 'Literature & Fiction', 'Poetry']","['Pride and over-confidence may take many forms. Dr. Seuss deals with them humorously in three very funny, off-beat stories about a 30-tiger challenge, the folly of the cats of Katzen-Stein and the terrible consequences of thunking a Glunk. Ages 3+']",I Can Lick 30 Tigers Today! (Dr.Seuss Classic Collection),Visit Amazon's Dr. Seuss Page,"3,841,172 in Books (",$48.21,0001716069
"['Books', ""Children's Books"", 'Humor']","['""[Dr. Seuss] has...instilled a lifelong love of books, learning and reading [in children]"" - The Telegraph""Dr. Seuss ignites a child\'s imagination with his mischievous characters and zany verses"" - The Express""The magic of Dr. Seuss, with his hilarious rhymes, belongs on the family bookshelf"" - Sunday Times Magazine""The author... has filled many a childhood with unforgettable characters, stunning illustrations, and of course, glorious rhyme"" - The Guardian""Dr. Seuss ignites a child\'s imagination with his mischievous characters and zany verses."" - The Express\n\t\t\t\t\t\t    \t\n\t\t\t\t\t\t        \t--This text refers to the <a href=\'/dp/0606367004/ref=dp_bookdescription?_encoding=UTF8&amp;n=283155\'>Library Binding</a> edition.', 'Illus. in full color. The meanings of ""up"" are conveyed with merry verse and illustrations in a happy book that celebrates the joy of life.\n\t\t\t\t\t\t    \t\n\t\t\t\t\t\t        \t--This text refers to the <a href=\'/dp/0606367004/ref=dp_bookdescription?_encoding=UTF8&amp;n=283155\'>Library Binding</a> edition.']",Great Day for Up,Visit Amazon's Dr Seuss Page,"2,012,078 in Books (",$10.53,0001712799
"['Books', ""Children's Books"", 'Classics']",[],Green Eggs and Ham,Visit Amazon's Dr. Seuss Page,"6,469,715 in Books (",$4.62,0001720392
"['Books', 'Humor & Entertainment', 'Radio']","['London. 27cm. 174p. : ill,some col. Encuadernacin en tapa blanda de editorial ilustrada. Idioma Ingls. C. S. Lewis ; illustrations by Pauline Baynes. [Chronicles of Narnia ][The lion, the witch and the wardrobe. ]. Narnia novels. Chronicles of Narnia 1. Chronicles of Narnia. Ill. on lining papers. First published : Geoffrey Bles, 1950 .. Este libro es de segunda mano y tiene o puede tener marcas y seales de su anterior propietario. ISBN: 0001831526; 9780001831520']","Lion, the Witch and the Wardrobe",Visit Amazon's C. S. Lewis Page,"137,964 in Books (",$12.59,0001720295
"['Books', ""Children's Books"", 'Literature & Fiction']","[""Theodor Seuss Geisel - better known to millions of his fans as Dr. Seuss - was born the son of a park superintendent in Springfield, Massachusetts, in 1904. After studying at Dartmouth College, New Hampshire, and later at Oxford University in England, he became a magazine humorist and cartoonist, and an advertising man. He soon turned his many talents to writing children's books, and his first book - And To Think That I Saw It On Mulberry Street - was published in 1937. His greatest claim to fame was the one and only The Cat in the Hat, published in 1957, the first of a hugely successful range of early learning books known as Beginner Books.""]",Oh Say Can You Say? (Beginner Series),Visit Amazon's Dr. Seuss Page,"15,620,681 in Books (",$5.14,000171337X
"['Books', ""Children's Books"", 'Animals']","[""Berenstains Children's Book. A Dr. Suess favorite.""]",Berenstains' B Book,Visit Amazon's Stan Berenstain Page,"370,165 in Books (",$17.98,000171211X
"['Books', ""Children's Books"", 'Animals']","['Small children will delight in making the connection between words and pictures, as a mischievous mouse shows Mr. Bird around a ""People House"", pointing out all the everyday things to be found, from peanuts and paper to scissors and string. This title belongs to the Bright and Early Beginner Book series, developed by Dr. Seuss especially for ""Beginning Beginners"" -- preschool children on the threshhold of learning to read. Using an exuberant combination of bright, bold pictures and rhythmic rhyme, Dr. Seuss introduces simple stories and concepts, adding a large helping of zany humour to help the youngest child make the all important connection between word and picture. Originally published under the pseudonym of Theo. LeSieg, The Eye Book is being relaunched with a stylish new cover design which reveals, for the first time, the true identity of the author -- Dr. Seuss himself!']",In a People House (Beginner Books),Theo Le Sieg,"1,525,356 in Books (",$2.67,0001712764
"['Books', ""Children's Books"", 'Literature & Fiction']","[""Helen Palmer conducts extended workshops, seminars, and training sessions on the Enneagram in the San Francisco Bay Area and around the country. She is the author of 'The Enneagram""]",A Fish Out of Water (Beginner Series),Visit Amazon's Helen Palmer Page,"3,825,077 in Books (",$8.84,0001713078
"['Books', ""Children's Books"", 'Animals']","['By P. D. Eastman, Illustrated by P. D. Eastman']","Go, Dog. Go! (Beginner Series)",Visit Amazon's P. D. Eastman Page,"730,999 in Books (",$12.97,0001713256
"['Books', ""Children's Books"", 'Animals']","[""In OLD HAT NEW HAT the first few pages carry the reader well into the plot simply by the repetition of three words. Gradually new words are introduced, the pace is quickened and suddenly even the earliest or slowest reader has 'read a book'. Bright and early books help even the youngest children get ready to read. Simple stories and basic concepts are humorously presented in rhythm and rhyme. Pictures that fully explain the text help even babies make the important connection between word and meaning. It's never too early to find out that 'Learning to read is fun'.""]","Old Hat, New Hat (Bright &amp; Early Books)",Visit Amazon's Stan Berenstain Page,"2,360,259 in Books (",$9.11,0001712810
"['Books', ""Children's Books"", 'Animals']","['<P> the most researched-crammed fantasy ever set before small children Sunday Times Magazine""<br /><br />', 'the most researched-crammed fantasy ever set before small children Sunday Times Magazine', '.."".the most researched-crammed fantasy ever set before small children..."" Sunday Times Magazine', '-...the most researched-crammed fantasy ever set before small children...- Sunday Times Magazine', '', 'Jill Barklem was drawn to the natural world ever since childhood. While training as an illustrator at St Martins School of Art, her long journeys to college gave her time to escape into the imaginary world of a colony of mice, later to be developed as the delightful miniature world of Brambly Hedge. Jill passed away in 2017 but her legacy lives on in these enchanting tales.']",Summer Story (Brambly Hedge),Visit Amazon's Jill Barklem Page,"500,871 in Books (",$7.92,0001839233
"['Books', 'Literature & Fiction', 'Poetry']","['Will be shipped from US. Used books may not include companion materials, may have some shelf wear, may contain highlighting/notes, may not include CDs or access codes. 100% money back guarantee.']",Hooray for Diffendoofer Day!,"Dr. & Prelutsky, Jack (Janet Schulman, afterward) Seuss","5,693,408 in Books (",$13.00,0001720279
"['Books', 'Christian Books & Bibles', 'Literature & Fiction']",[],Magician's Nephew - Folio Society Hardcover,Visit Amazon's C.S. Lewis Page,"5,818,930 in Books (",$25.85,0001844423
"['Books', ""Children's Books"", 'Animals']","['By Stan Berenstain, Illustrated by Stan Berenstain and Jan Berenstain']",The Berenstain Bears On the Moon (Bright and Early Books),Visit Amazon's Stan Berenstain Page,"1,703,639 in Books (",$6.19,0001714538
"['Books', ""Children's Books"", 'Literature & Fiction']",[],The Secret Garden,Frances Hodgson [illustrated by ruth sanderson] Burnett,"5,053,878 in Books (",$4.72,0001945424
"['Books', ""Children's Books"", 'Animals']",[],Fox in Socks (Dr.Seuss Board Books),Visit Amazon's Dr. Seuss Page,"6,761,813 in Books (",$2.94,000172066X
"['Books', ""Children's Books"", 'Science Fiction & Fantasy']",[],Charmed Life,Visit Amazon's Diana Wynne Jones Page,"4,981,530 in Books (",$8.95,0001857290
"['Books', ""Children's Books"", 'History']",[],City,DAVID MACAULAY,"1,416,274 in Books (",$3.82,0001921517
"['Books', ""Children's Books"", 'Science, Nature & How It Works']",[],Pyramid,David Macaulay,"8,390,573 in Books (",$9.74,0001956604
"['Books', ""Children's Books""]","[""Bright and Early books help even the youngest children get ready to read. Simple stories and basic concepts are humorously presented in rhythm and rhyme. Pictures that fully explain the text help even babies make the important connection between word and meaning. It's never too early to find out that 'Learning to read is Fun'. The small Berenstain Bears go out on a daring nighttime adventure in THE SPOOKY OLD TREE and find thrills and shivers in just the right measure before returning to the safety of home. Four- and five-year olds will enjoy having this story read to them and older children will want to read it themselves.""]",Berenstain Bears and the Spooky Old Tree (Bright &amp; Early Books),Visit Amazon's Stan Berenstain Page,"1,034,705 in Books (",$10.66,0001712845
[],['Cover shows some light wear. Pages are clean.'],The Butter Battle Book,Visit Amazon's Dr. Seuss Page,"2,015,802 in Books (",$39.96,0001950061
"['Books', ""Children's Books""]","[""Illustrated in full colour. The Bears' adventures take them in, out, around, and about. A good job of combining words and pictures into a slapstick but cohesive story. Ages 3+""]",Bears in the Night (Bright &amp; Early Books),Visit Amazon's Stan Berenstain Page,"1,231,410 in Books (",$10.53,0001712713
"['Books', 'Teen & Young Adult', 'Literature & Fiction']","['""...the most researched-crammed fantasy ever set before small children..."" Sunday Times Magazine', ""Jill Barklem was drawn to the natural world ever since childhood. While training as an illustrator at St Martin's School of Art, her long journeys to college gave her time to escape into the imaginary world of a colony of mice, later to be developed as the enchanting miniature world of Brambly Hedge.""]",The Complete Brambly Hedge,Visit Amazon's Jill Barklem Page,"3,792,261 in Books (",$47.33,0001983679
"['Books', 'Crafts, Hobbies & Home', 'Home Improvement & Design']","['The seeds of Rybczynski\'s elegant and illuminating new book were sown by The New York Times, whose editors asked him to write an essay identifying ""the best tool of the millennium."" An award-winning author who once built a house using only hand tools, Rybczynski has intimate knowledge of the toolbox -- both its contents and its history -- which serves him beautifully on his quest.\n\nOne Good Turn is a story starring Archimedes, who invented the water screw and introduced the helix, and Leonardo, who sketched a machine for carving wood screws. It is a story of mechanical discovery and genius that takes readers from ancient Greece to car design in the age of American industry. Rybczynski writes an ode to the screw, without which there would be no telescope, no microscope -- in short, no enlightenment science.']",One Good Turn: A Natural History of the Screwdriver and the Screw,Visit Amazon's Witold Rybczynski Page,"3,192,672 in Books (",$5.98,0002000318
"['Books', 'History', 'World']","[""The true story of the remarkable John Rae - Arctic traveller and Hudson's Bay Company doctor - a tale of imperial ambition and high adventure. In 1854 Rae solved the two great Arctic mysteries: the fate of the doomed Franklin expedition and the location of the last navigable link in the Northwest Passage. But Rae was to be denied the recognition he so richly deserved. On returning to London, he faced a campaign of denial and vilification led by two of the most powerful people in Victorian England: Lady Jane Franklin, the widow of the lost Sir John, and Charles Dickens, the most influential writer of the age. With this is story of courage and determination, McGoogan aims to capture the essence of one man's indomitable spirit. It is his redemption of Rae's rightful place in history.""]","Fatal passage: The untold story of John Rae, the Arctic adventurer who discovered the fate of Franklin",Visit Amazon's Kenneth McGoogan Page,"1,674,754 in Books (",$99.20,0002000547
"['Books', 'Comics & Graphic Novels', 'Graphic Novels']",[],Princess and the Goblin (Abridged Classics),Visit Amazon's George MacDonald Page,"4,348,205 in Books (",$16.02,0001846590
[],"['The book Airborn is a very good book about how a boy works very hard on an airship to support his family who are in a lot of crises, due to the fact that the father had died on the same airship. I like how the book shows that how the boy does not lose hope and feels all is lost when he does not get the promotion which he had worked on for so long and that would help his family. I also like how a teenage boy stands up to some of the strongest, scariest and most dangerous pirates in the book and does not back away. And when the pirates board the airship a second time he shows great skill, knowledge and interest as he plays the role of many people aboard to do their job.The book has many descriptions on how life was being a steward on an airship and other jobs aboard. In the beginning the boy does some breathtaking, heroic stunts to rescue an old man who later on happens to cause many problems for him, the crew aboard and the passengers. The book is connected to many different parts of the story that link together, and you have to have to remember other previous events for somethings to make sense. If you leave this book for a period of time things might become hard to understand for you may have forgotten about what had happened. You cannot just reread some pages back to get some of the events. The book will be more enjoyable to people who like action, adventure and can stand little violence. ( Amazon customer)']",Airborn,Visit Amazon's Kenneth Oppel Page,"13,039,521 in Books (",$45.00,0002005379
"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']",[],PREY.,Visit Amazon's Michael. Crichton Page,"3,597,489 in Books (",$24.96,0002005549
"['Books', 'Literature & Fiction', 'World Literature']","[""It is the year 1934, and in a small town in Canada, Clara Callan reluctantly takes leave of her sister, Nora, who is bound for the show business world of New York. It's a time when people escape from reality through radio and the movies, when the Dionne Quints make headlines, when the growing threat of fascism in Europe is a constant worry, and the two sisters -- vastly different in personality yet inextricably linked by a shared past -- try to find their place within the complex web of social expectations for young women in the 1930s.\nWhile Nora embarks on a glamorous career as a radio soap opera star, Clara, a strong and independent-minded woman, struggles to observe the ...""]",Clara Callan: A novel,Visit Amazon's Richard Bruce Wright Page,"4,390,551 in Books (",$6.19,0002005018
"['Books', ""Children's Books""]","['The Cat in the Hat Song Book by Dr. Seuss: 19 Seuss-Songs for Beginning Singers. Piano Score and Guitar Chords by Eugene Poddany. | Random House, Inc. / William Collins Sons &amp; Co. Ltd. | 1968 | 0001951076']",Cat in the Hat Song Book,Visit Amazon's Dr. Seuss Page,"1,930,592 in Books (",$13.04,0001951076
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']",[],Devil of Nanking,Visit Amazon's Mo Hayder Page,"10,775,919 in Books (",$42.63,0002007215
"['Books', 'Travel', 'Travel Writing']","['Book by Kremmer, Christopher.']",The Carpet Wars: From Kabul to Baghdad A Ten-Year Journey Along Ancient Trade Routes,Visit Amazon's Christopher Kremmer Page,"16,352,397 in Books (",$6.97,0002006448
"['Books', ""Children's Books""]","['When a little bug sneezes a riot breaks out as one accident leads to another, and another! until the whole town is caught up in the ensuing chaos. Young readers will delight in this action-packed tale of mishaps and mayhem! This title belongs to the highly acclaimed Beginner Book series developed by Dr. Seuss, in which the essential ingredients of rhyme, rhythm and repetition are combined with zany artwork and off-the-wall humour to create a range of books that will encourage even the most reluctant child to learn to read. Originally published under the pseudonym of Rosetta Stone, Because A Little Bug Went Ka-Choo! is being relaunched with a stylish new cover design which reveals, for the first time, the true identity of the author -- Dr. Seuss himself!']",Because a Little Bug Went Ka-Choo! (Beginner Books),Visit Amazon's Dr. Seuss Page,"1,662,616 in Books (",$10.60,0001713205
"['Books', 'Literature & Fiction', 'World Literature']","['', '<strong>FRANCES ITANI</strong> has written sixteen books. Her novels include <em>Tell</em>, shortlisted for the Scotiabank Giller Prize; <em>Requiem</em>, chosen by the <em>Washington Post</em> as one of the top fiction titles of 2012; <em>Remembering the Bones</em>, published internationally and shortlisted for the Commonwealth Writers&#8217; Prize; and the #1 bestseller <em>Deafening</em>, which won a Commonwealth Writers&#8217; Prize and was shortlisted for the International IMPAC Dublin Literary Award, selected for CBC&#8217;s Canada Reads and published in seventeen territories. A Member of the Order of Canada and a three-time winner of the CBC Literary Award, Frances Itani lives in Ottawa.', '&#160;', '&#160;']",Deafening,Visit Amazon's Frances Itani Page,"18,481,294 in Books (",$6.26,0002005395
"['Books', ""Children's Books"", 'Literature & Fiction']","['', 'Kenneth Oppel is the author of <em>Skybreaker</em> and <em>Airborn</em> (winner of the Governor General&#8217;s Award), as well as the Silverwing Saga (<em>Silverwing</em>, <em>Sunwing</em> and <em>Firewing</em>), which has sold over one million copies worldwide and has won numerous prizes, including the Mr. Christie&#8217;s Book Award and the CLA Book of the Year for Children Award, as well as many children&#8217;s choice awards across the country. His other titles include <em>Peg and the Whale</em>, <em>Dead Water Zone</em> and <em>The Live-Forever Machine</em>. Voted children&#8217;s author of the year by Canadian booksellers in 2006, he lives in Toronto with his wife and three children. You can find him online at kennethoppel.ca and on Twitter at @kennethoppel.']",Skybreaker (Airborn),Visit Amazon's Kenneth Oppel Page,"5,777,307 in Books (",$19.44,0002006995
"['Books', 'Self-Help', 'Motivational']","['', '<strong>ROBIN SHARMA</strong> is a globally respected humanitarian. Widely considered one of the world&#8217;s top leadership and personal optimization advisors, his clients include famed billionaires, professional sports superstars and many Fortune 100 companies. The author&#8217;s #1 bestsellers such as <em>The Monk Who Sold His Ferrari</em>, <em>The Greatness Guide</em> and <em>The Leader Who Had No Title</em>, are in over 92 languages making him one of the most broadly read writers alive today.']",The Monk Who Sold His Ferrari: A Remarkable Story About Living Your Dreams,Visit Amazon's Robin Sharma Page,"1,577,123 in Books (",$19.95,0002008599
"['Books', 'Engineering & Transportation', 'Engineering']",[],Past Forgetting,Kay Summersby Morgan,"3,377,569 in Books (",$6.03,0002116456
"['Books', 'History', 'Europe']",[],The Voyage of the Armada: The Spanish Story,David Howarth,"16,845,395 in Books (",,0002115751
"['Books', 'History', 'Military']",[],Rommel: The Desert Fox,Visit Amazon's Desmond Young Page,"276,712 in Books (",$1.99,0002117053
[],['LARGE PRINT HARDBACK.'],The Sinister Pig,Visit Amazon's Tony. Hillerman Page,"5,321,290 in Books (",$5.85,0002005263
"['Books', 'Literature & Fiction', 'Classics']","['Shows some signs of wear, and may have some markings on the inside. 100% Money Back Guarantee.']",For Whom the Bell Tolls,ernest hemingway,"3,161,695 in Books (",$17.64,0002051850
"['Books', 'History', 'Europe']",[],"Reach for the Sky: Story of Douglas Bader, D.S.O., D.F.C.",Paul Brickhill,"498,374 in Books (",$21.00,0002117010
"['Books', 'New, Used & Rental Textbooks', 'Medicine & Health Sciences']",[],The Greatest Benefit to Mankind: A Medical History of Humanity,Visit Amazon's Roy Porter Page,"4,128,486 in Books (",,0002151731
"['Books', 'Biographies & Memoirs', 'Arts & Literature']",['Biography and personal reminiscence of the great master of Impressions by his son.'],"Renoir, My Father",Visit Amazon's Jean Renoir Page,"4,329,961 in Books (",$173.30,0002117088
[],"['Starting in the late 50s and early 60s, Robert Ardrey (1908  1980) began exploding a series of philosophical landmines. AFRICAN GENESIS (1961) introduced his new evolutionary approach to an understanding of men. Then came THE TERRITORIAL IMPERATIVE (1966), whose title is now a common phrase in our language. THE SOCIAL CONTRACT is the third in the series, and it denies that men are created equal. Robert Ardrey maintains that since the publication of Rousseaus Contrat social two centuries ago, mean have wasted social resources, converted much of education into a process of brain-washing, committed themselves to one political insane asylum after another, all in pursuit of a goal that is a natural impossibility in any sexually reproducing species. He even denies that his thesis is controversial, since he is merely presenting a body of scientific proof for what we should all know anyway. Discarding the myth, Robert Ardrey combines his wealth of knowledge of animal ways with the new insights of modern biology and the newest revelations concerning human evolution to probe perplexing contemporary problems: the revolt of the young, the status struggle and the role of leadership, population control, urban overcrowding, and violence in civilized life. This brilliant book offers a powerful challenge to accustomed thought. This trilogy of books were instrumental in changing scientific doctrine and increasing public awareness of evolutionary science. Ardreys work was so popular that many prominent scientists cite it as inspiring them to enter their fields.']",Social Contract: A Personal Inquiry into the Evolutionary Sources of Order and Disorder,Visit Amazon's Robert Ardrey Page,"1,698,882 in Books (",$47.29,0002117908
"['Books', 'Biographies & Memoirs', 'Arts & Literature']","[""Now hailed as a classic, Carlos Baker's bestselling biography of Hemingway brings into sharp focus one of the titans of 20th-century American literature, a writer whose life itself was the stuff of legend. 11 cassettes.""]",Ernest Hemingway,Visit Amazon's Carlos Baker Page,"2,924,473 in Books (",$10.23,0002112256
"['Books', 'Religion & Spirituality']","['Translated from the French by Norman Denny.Hardback, ex-library, with usual stamps and markings, in good all round condition.']",Future of Man,Pierre Teilhard De Chardin,"3,275,624 in Books (",$5.49,0002152525
"['Books', 'Travel', 'Asia']","[""Delhi has a richly layered past, and Dalrymple (In Xanadu, McKay, 1990) deftly peels away each layer to reveal how the city came to be what it is today. Djinns are spirits said to be seen only after prolonged fasting and prayer; they too are integral to understanding the city. The author, a young Scot carrying on the fine British tradition of travel writing, has a knack for meeting fascinating people and capturing their most revealing remarks. He introduces us to dervishes, eunuchs, partridge fighting, weddings, and expatriates. His wife contributes sketches that nicely complement his text. Considering the importance of Delhi, the capital of the world's second most populous nation, this book deserves to be in most public and academic libraries.<BR><I>Harold M. Otness, Southern Oregon State Coll. Lib., Ashland</I><BR>Copyright 1994 Reed Business Information, Inc.""]",City of Djinns: A Year in Delhi,Visit Amazon's William Dalrymple Page,"1,453,763 in Books (",,000215725X
